putativeCellType,geneticLine,acgPeak,troughtToPeak,brainRegion,lightResponse,rateDuringRipples,preferedThetaphase,thetaModulation,sessionName
Pyramidal Cell,id2/dlx/ai80,2.26,0.775,CA1sp,0,-2.17640323309522,2.64721045290866,0.0818634787496176,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,1.94,0.275,CA1sp,0,24.7018323388823,3.25909693191547,0.325274548325805,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.758333333333333,CA1sp,0,5.44664009164019,2.89661201936977,0.11957624323027,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.683333333333333,CA1sp,0,15.9695686417722,2.94615775711106,0.228461450462538,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.575,CA1sp,0,-2.63173600721686,3.455233855764,0.0266314516693095,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.708333333333333,CA1sp,0,14.5753554480184,2.85294660650801,0.180667486217665,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.708333333333333,CA1sp,0,4.77887206479458,2.53301979001687,0.0694503372657053,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.14,0.766666666666667,CA1sp,0,2.6482811351481,3.35928747427031,0.170169620542957,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.75,CA1sp,0,-0.165762617637838,2.49693249895796,0.149054983647332,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.725,CA1sp,0,-0.441212391733032,2.30536000827876,0.105359116085073,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.758333333333333,CA1sp,0,-0.950439834049746,2.61514213959966,0.0271627367004313,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.758333333333333,CA1sp,0,19.653863067945,2.2569226810355,0.18551512111152,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.725,CA1sp,0,1.15088683195988,3.08814320601861,0.105587918711397,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.758333333333333,CA1sp,0,13.9642400437689,2.25272225266171,0.19877815621963,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,1.9,0.458333333333333,CA1sp,0,1.86690328456982,2.71545314321395,0.245473344016312,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.733333333333333,CA1sp,0,11.3822045566004,2.72186965071546,0.159351583189951,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,1.98,0.275,CA1sp,0,-2.29105370737135,2.61319177580522,0.208073795681885,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.708333333333333,CA1sp,0,6.90479637894849,2.65208050450833,0.21134933758828,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.75,CA1sp,0,17.5150291803362,3.82199043095081,0.0596785461518183,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.65,CA1sp,0,0.717890399841062,2.45632587408858,0.0814296232845877,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.75,CA1sp,0,9.2818831431421,2.39095069006127,0.119123648127807,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.766666666666667,CA1sp,0,9.78831369605639,3.1268746772633,0.192919538353945,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.766666666666667,CA1sp,0,-1.39808181653523,3.11991868640842,0.0420440490781566,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.766666666666667,CA1sp,0,9.76542379165172,3.14551464381976,0.165835430330326,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.1,0.733333333333333,CA1sp,0,11.8207207972984,3.35211401340764,0.203980469973406,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.608333333333333,CA1sp,0,-1.81906254522941,1.3077257697902,0.0282908676785475,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.716666666666667,CA1sp,0,16.2786807621991,3.08638055043299,0.207588248246776,fnkx8_200911_sess19
Wide Interneuron,id2/dlx/ai80,1.58,0.558333333333333,CA1slm,1,-4.72387818303638,0.250653610101092,0.299298738436686,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.658333333333333,CA1sp,0,12.8932610013847,2.74954819893644,0.112337804594461,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.733333333333333,CA1sp,0,5.93965779368952,3.08566369129863,0.138405738004684,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.775,CA1sp,0,10.218503484076,2.69340706610142,0.226092515787327,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.75,CA1sp,0,11.9704278165474,2.63689881561853,0.161413880367775,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,1.94,0.283333333333333,CA1sp,0,-6.93604137870621,1.11646011481887,0.444139278155716,fnkx8_200911_sess19
